Raw Ingredient,Product Count,Primary/Secondary,Candidate Canonical Ingredient,Mapping Basis,Decision,Reason,Resolution Status,Safe To Map,Domain Review Required,Remains Unresolved,Is Excluded,Products
Glacial Water,1,Secondary,Glacier Water,DOMAIN_REVIEWED,SAFE_TO_MAP,Approved row in domain_reviewed_mappings_expanded.csv.,MAPPED,True,False,False,False,Roop-29
Gluconolactone (PHA),1,Primary,Gluconolactone (PHA),EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-78
Glutathione,1,Secondary,Glutathione,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-01
Glyceryl Glucoside,1,Primary,Glyceryl Glucoside,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-77
Green Tea,1,Primary,Green Tea Oil,SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-40
Green Tea Oil,1,Primary,Green Tea Oil,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-12
Heartleaf Water/Extract,1,Primary,Heartleaf Extract,DOMAIN_REVIEWED,SAFE_TO_MAP,Approved row in domain_reviewed_mappings_expanded.csv.,MAPPED,True,False,False,False,Roop-38
Himalayan Pink Salt,1,Primary,Himalayan Pink salt,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-58
Lactic Acid,1,Primary,Lactic Acid,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-33
Marrubium Vulgare Extract,1,Secondary,Horehound Extract,DOMAIN_REVIEWED,SAFE_TO_MAP,Approved row in domain_reviewed_mappings_expanded.csv.,MAPPED,True,False,False,False,Roop-76
Mexoryl 400,1,Secondary,Mexoryl 400 / MCE,SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-34
Mexoryl SX,1,Secondary,Ecamsule / Mexoryl SX,SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-14
Mexoryl XL,1,Secondary,Drometrizole Trisiloxane / Mexoryl XL,SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-23
Octocrylene,1,Secondary,Octocrylene,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-20
Olive Oil,1,Primary,Olive Oil,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-45
PGA Complex,1,Primary,Pga (Polyglutamic Acid),DOMAIN_REVIEWED,SAFE_TO_MAP,Approved row in domain_reviewed_mappings_expanded.csv.,MAPPED,True,False,False,False,Roop-77
Pantolactone,1,Secondary,Pantolactone,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-48
Pentylene Glycol,1,Primary,Pentylene Glycol,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-21
Plant Based AHA,1,Primary,Plant Based AHA (Alpha Hydroxy Acids),SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-92
Plum Water,1,Primary,Plum Water,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-26
Polyglutamic Acid,1,Primary,Polyglutamic Acid,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-47
Potassium Cocoyl Glycinate,1,Secondary,Potassium Cocoyl Glycinate,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-04
Propanediol,1,Secondary,Propanediol,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-79
Propolis Extract,1,Primary,Propolis Extract,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-25
Quercetin/Quercetinol,1,Primary,Quercetin,DOMAIN_REVIEWED,SAFE_TO_MAP,Approved row in domain_reviewed_mappings_expanded.csv.,MAPPED,True,False,False,False,Roop-38
Red Algae Extract,1,Primary,Red Algae Extract,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-83
Rice Powder,1,Primary,Rice Powder,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-40
Rice Seed Water,1,Primary,Rice Seed Water,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-23
Saccharide Isomerate,1,Primary,Saccharide Isomerate (Plant Derived Moisturiser),SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-74
Saccharomyces Ferment,1,Secondary,Saccharomyces ferment,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-77
Sage Extract,1,Secondary,Sage Extract,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-03
Sea Buckthorn Extract,1,Primary,Sea Buckthorn Extract,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-01
Silica,1,Secondary,Silica,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-33
Soapwort Extract,1,Primary,Saponaria Officinalis Leaf Extract (Soapwort),SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-28
Sodium Ascorbyl Phosphate,1,Secondary,Sodium Ascorbyl Phosphate,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-18
Sodium Lauroyl Glutamate,1,Secondary,Sodium Lauroyl Glutamate,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-38
Sodium PCA,1,Secondary,Sodium PCA,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-79
Sorbeth-30 Tetraoleate,1,Secondary,Sorbeth-30 Tetraoleate,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-43
Soybean Extract,1,Secondary,Soybean Extract,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-24
Squalene,1,Primary,Squalene,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-84
Sugarcane Extract,1,Primary,Sugar Cane Extract,SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-83
Sunflower Oil,1,Secondary,Sunflower Seed Oil,SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-73
Sunflower Seed Oil,1,Secondary,Sunflower Seed Oil,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-43
Sunflower Sprout Extract,1,Primary,Sunflower Seed Extract,DOMAIN_REVIEWED,SAFE_TO_MAP,Approved row in domain_reviewed_mappings_expanded.csv.,MAPPED,True,False,False,False,Roop-46
Sweet Almond Oil,1,Secondary,Sweet Almond Oil,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-49
Tea Tree Extract,1,Secondary,Tea Tree Extract,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-25
Thermus Thermophilus Ferment,1,Primary,Thermus Thermophilus Ferment,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-55
Thyme Leaf Extract,1,Primary,Thyme Leaf Extract,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-45
Tocotrienols,1,Secondary,Tocotrienol (Vitamin E),SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-88
Turmeric Root Extract,1,Primary,Turmeric Extract,DOMAIN_REVIEWED,SAFE_TO_MAP,Approved row in domain_reviewed_mappings_expanded.csv.,MAPPED,True,False,False,False,Roop-43
Vitamin E Acetate,1,Primary,Vitamin E,SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-84
Watermelon Extract,1,Primary,Watermelon Extract,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-36
Willow Bark Water,1,Primary,Willow Bark Water,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-10
Witch Hazel Extract,1,Primary,Witch Hazel,SAFE_NORMALIZATION,SAFE_TO_MAP,"Deterministic normalisation: case, spacing, punctuation, slash chain, parenthetical, plural, percentage or reviewed alias.",MAPPED,True,False,False,False,Roop-40
Yuzu Extract,1,Primary,Yuzu Extract,EXACT_CANONICAL,SAFE_TO_MAP,Name is itself a canonical workbook entry.,MAPPED,True,False,False,False,Roop-18
